profile_id,condition,cable_length_mm,session_id,date,operator,lane_id,channel,rate_gbps,linked,eye_area_ratio,zero_error_fraction,eye_height_mv,eye_width_ui,link_margin_mv,error_onset_mv
alphawire_36awg,1010mm,1010.0,20260706_01,2026-07-06,Federico,fwd_3g,forward,3.0,True,0.219238,0.199951,177.188,0.875,50.0,
alphawire_36awg,1010mm,1010.0,20260706_01,2026-07-06,Federico,fwd_6g,forward,6.0,True,0.107666,0.081299,137.812,0.71875,280.0,270.0
alphawire_36awg,1010mm,1010.0,20260706_01,2026-07-06,Federico,rev_187m_fwd3g,reverse,0.1875,True,0.197998,0.169922,127.969,2.0,140.0,130.0
alphawire_36awg,1010mm,1010.0,20260706_01,2026-07-06,Federico,rev_187m_fwd6g,reverse,0.1875,True,0.158203,0.125732,98.438,2.0,100.0,90.0
alphawire_36awg,1200mm,1200.0,20260707_01,2026-07-07,Federico,fwd_3g,forward,3.0,False,,,,,,
alphawire_36awg,1200mm,1200.0,20260707_01,2026-07-07,Federico,fwd_6g,forward,6.0,False,,,,,,
alphawire_36awg,1200mm,1200.0,20260707_01,2026-07-07,Federico,rev_187m_fwd3g,reverse,0.1875,True,,,,,,
alphawire_36awg,1200mm,1200.0,20260707_01,2026-07-07,Federico,rev_187m_fwd6g,reverse,0.1875,True,,,,,,
alphawire_36awg,1500mm,1500.0,20260706_01,2026-07-06,Federico,fwd_3g,forward,3.0,False,,,,,,
alphawire_36awg,1500mm,1500.0,20260706_01,2026-07-06,Federico,fwd_6g,forward,6.0,False,,,,,,
alphawire_36awg,1500mm,1500.0,20260706_01,2026-07-06,Federico,rev_187m_fwd3g,reverse,0.1875,True,,,,,,
alphawire_36awg,1500mm,1500.0,20260706_01,2026-07-06,Federico,rev_187m_fwd6g,reverse,0.1875,True,,,,,,
alphawire_36awg,500mm,500.0,20260706_01,2026-07-06,Federico,fwd_3g,forward,3.0,False,,,,,,
alphawire_36awg,500mm,500.0,20260706_01,2026-07-06,Federico,fwd_6g,forward,6.0,False,,,,,,
alphawire_36awg,500mm,500.0,20260706_01,2026-07-06,Federico,rev_187m_fwd3g,reverse,0.1875,True,,,,,,
alphawire_36awg,500mm,500.0,20260706_01,2026-07-06,Federico,rev_187m_fwd6g,reverse,0.1875,True,,,,,,
alphawire_36awg,740mm,740.0,20260706_01,2026-07-06,Federico,fwd_3g,forward,3.0,True,0.196289,0.175781,157.5,0.84375,50.0,
alphawire_36awg,740mm,740.0,20260706_01,2026-07-06,Federico,fwd_6g,forward,6.0,True,0.109863,0.078857,137.812,0.6875,310.0,300.0
alphawire_36awg,740mm,740.0,20260706_01,2026-07-06,Federico,rev_187m_fwd3g,reverse,0.1875,True,0.25,0.234375,157.5,2.0,150.0,140.0
alphawire_36awg,740mm,740.0,20260706_01,2026-07-06,Federico,rev_187m_fwd6g,reverse,0.1875,True,0.158691,0.132324,98.438,2.0,110.0,100.0
coax_molex_1000650128,1025mm,1025.0,20260624_01,2026-06-24,Federico,fwd_3g,forward,3.0,True,0.172363,0.148438,177.188,0.78125,50.0,
coax_molex_1000650128,1025mm,1025.0,20260624_01,2026-06-24,Federico,fwd_6g,forward,6.0,True,0.103271,0.075195,137.812,0.65625,300.0,290.0
coax_molex_1000650128,1025mm,1025.0,20260624_01,2026-06-24,Federico,rev_187m_fwd3g,reverse,0.1875,True,0.25,0.215088,157.5,2.0,220.0,210.0
