miniscope_model,profile_id,cable_length_mm,rate_gbps,quality_score,zone,source,attenuation_db
miniscope_v4,alphawire_36awg,500.0,1.5,0.0,not_recommended,no_link,
miniscope_v4,alphawire_36awg,740.0,1.5,0.91315,works,projected_from_vna,1.737
miniscope_v4,alphawire_36awg,1010.0,1.5,0.87661,works,projected_from_vna,2.4678
miniscope_v4,alphawire_36awg,1200.0,1.5,0.0,not_recommended,no_link,
miniscope_v4,coax_molex_1000650128,170.0,1.5,0.0,not_recommended,no_link,
miniscope_v4,coax_molex_1000650128,500.0,1.5,0.815535,works,projected_from_vna,3.6893
miniscope_v4,coax_molex_1000650128,1025.0,1.5,0.789135,works,projected_from_vna,4.2173
miniscope_v4,coax_molex_1000650128,1500.0,1.5,0.73509,marginal,projected_from_vna,5.2982
miniscope_v4,coax_molex_1000650128,2400.0,1.5,0.592595,marginal,projected_from_vna,8.1481
miniscope_v4,cooner_wire_cw8251,500.0,1.5,0.94474,works,projected_from_vna,1.1052
miniscope_v4,cooner_wire_cw8251,1120.0,1.5,0.83503,works,projected_from_vna,3.2994
miniscope_v4,cooner_wire_cw8251,1500.0,1.5,0.809865,works,projected_from_vna,3.8027
miniscope_v4,cooner_wire_cw8251,2000.0,1.5,0.669745,marginal,projected_from_vna,6.6051
