condition,cable_length_mm,lane_id,channel,rate_gbps,n_sessions,linked,n_no_link_sessions,mean_eye_area_ratio,std_eye_area_ratio,mean_zero_error_fraction,std_zero_error_fraction,mean_eye_height_mv,std_eye_height_mv,mean_eye_width_ui,std_eye_width_ui,mean_link_margin_mv,std_link_margin_mv
500mm,500.0,fwd_3g,forward,3.0,1,False,1,,,,,,,,,,
500mm,500.0,fwd_6g,forward,6.0,1,False,1,,,,,,,,,,
500mm,500.0,rev_187m_fwd3g,reverse,0.1875,1,True,0,,,,,,,,,,
500mm,500.0,rev_187m_fwd6g,reverse,0.1875,1,True,0,,,,,,,,,,
740mm,740.0,fwd_3g,forward,3.0,1,True,0,0.196289,,0.175781,,157.5,,0.84375,,50.0,
740mm,740.0,fwd_6g,forward,6.0,1,True,0,0.109863,,0.078857,,137.812,,0.6875,,310.0,
740mm,740.0,rev_187m_fwd3g,reverse,0.1875,1,True,0,0.25,,0.234375,,157.5,,2.0,,150.0,
740mm,740.0,rev_187m_fwd6g,reverse,0.1875,1,True,0,0.158691,,0.132324,,98.438,,2.0,,110.0,
1010mm,1010.0,fwd_3g,forward,3.0,1,True,0,0.219238,,0.199951,,177.188,,0.875,,50.0,
1010mm,1010.0,fwd_6g,forward,6.0,1,True,0,0.107666,,0.081299,,137.812,,0.71875,,280.0,
1010mm,1010.0,rev_187m_fwd3g,reverse,0.1875,1,True,0,0.197998,,0.169922,,127.969,,2.0,,140.0,
1010mm,1010.0,rev_187m_fwd6g,reverse,0.1875,1,True,0,0.158203,,0.125732,,98.438,,2.0,,100.0,
1200mm,1200.0,fwd_3g,forward,3.0,1,False,1,,,,,,,,,,
1200mm,1200.0,fwd_6g,forward,6.0,1,False,1,,,,,,,,,,
1200mm,1200.0,rev_187m_fwd3g,reverse,0.1875,1,True,0,,,,,,,,,,
1200mm,1200.0,rev_187m_fwd6g,reverse,0.1875,1,True,0,,,,,,,,,,
1500mm,1500.0,fwd_3g,forward,3.0,1,False,1,,,,,,,,,,
1500mm,1500.0,fwd_6g,forward,6.0,1,False,1,,,,,,,,,,
1500mm,1500.0,rev_187m_fwd3g,reverse,0.1875,1,True,0,,,,,,,,,,
1500mm,1500.0,rev_187m_fwd6g,reverse,0.1875,1,True,0,,,,,,,,,,
