condition,cable_length_mm,lane_id,channel,rate_gbps,n_sessions,linked,n_no_link_sessions,mean_eye_area_ratio,std_eye_area_ratio,mean_zero_error_fraction,std_zero_error_fraction,mean_eye_height_mv,std_eye_height_mv,mean_eye_width_ui,std_eye_width_ui,mean_link_margin_mv,std_link_margin_mv
170mm,170.0,fwd_3g,forward,3.0,1,False,1,,,,,,,,,,
170mm,170.0,fwd_6g,forward,6.0,1,False,1,,,,,,,,,,
170mm,170.0,rev_187m_fwd3g,reverse,0.1875,1,True,0,,,,,,,,,,
170mm,170.0,rev_187m_fwd6g,reverse,0.1875,1,True,0,,,,,,,,,,
500mm,500.0,fwd_3g,forward,3.0,1,True,0,0.186523,,0.167236,,127.969,,0.875,,50.0,
500mm,500.0,fwd_6g,forward,6.0,1,True,0,0.144287,,0.119629,,157.5,,0.78125,,180.0,
500mm,500.0,rev_187m_fwd3g,reverse,0.1875,1,True,0,0.25,,0.220947,,157.5,,2.0,,170.0,
500mm,500.0,rev_187m_fwd6g,reverse,0.1875,1,True,0,0.172363,,0.138428,,98.438,,2.0,,110.0,
1025mm,1025.0,fwd_3g,forward,3.0,1,True,0,0.172363,,0.148438,,177.188,,0.78125,,50.0,
1025mm,1025.0,fwd_6g,forward,6.0,1,True,0,0.103271,,0.075195,,137.812,,0.65625,,300.0,
1025mm,1025.0,rev_187m_fwd3g,reverse,0.1875,1,True,0,0.25,,0.215088,,157.5,,2.0,,220.0,
1025mm,1025.0,rev_187m_fwd6g,reverse,0.1875,1,True,0,0.140625,,0.099854,,88.594,,2.0,,110.0,
1500mm,1500.0,fwd_3g,forward,3.0,1,True,0,0.239014,,0.223389,,216.562,,0.875,,50.0,
1500mm,1500.0,fwd_6g,forward,6.0,1,True,0,0.123291,,0.098877,,137.812,,0.71875,,300.0,
1500mm,1500.0,rev_187m_fwd3g,reverse,0.1875,1,True,0,0.25,,0.237061,,157.5,,2.0,,110.0,
1500mm,1500.0,rev_187m_fwd6g,reverse,0.1875,1,True,0,0.133545,,0.100098,,88.594,,2.0,,80.0,
2400mm,2400.0,fwd_3g,forward,3.0,1,True,0,0.21582,,0.187988,,216.562,,0.8125,,50.0,
2400mm,2400.0,fwd_6g,forward,6.0,1,True,0,0.076172,,0.042969,,98.438,,0.59375,,,
2400mm,2400.0,rev_187m_fwd3g,reverse,0.1875,1,True,0,0.189697,,0.147217,,118.125,,2.0,,170.0,
2400mm,2400.0,rev_187m_fwd6g,reverse,0.1875,1,True,0,0.086426,,0.027344,,49.219,,2.0,,80.0,
