condition,cable_length_mm,lane_id,channel,rate_gbps,n_sessions,linked,n_no_link_sessions,mean_eye_area_ratio,std_eye_area_ratio,mean_zero_error_fraction,std_zero_error_fraction,mean_eye_height_mv,std_eye_height_mv,mean_eye_width_ui,std_eye_width_ui,mean_link_margin_mv,std_link_margin_mv
500mm,500.0,fwd_3g,forward,3.0,1,True,0,0.195312,,0.171875,,118.125,,0.875,,50.0,
500mm,500.0,fwd_6g,forward,6.0,1,True,0,0.133789,,0.110352,,157.5,,0.6875,,110.0,
500mm,500.0,rev_187m_fwd3g,reverse,0.1875,1,True,0,0.21875,,0.1875,,137.812,,2.0,,130.0,
500mm,500.0,rev_187m_fwd6g,reverse,0.1875,1,True,0,0.1875,,0.150391,,118.125,,2.0,,110.0,
1120mm,1120.0,fwd_3g,forward,3.0,1,True,0,0.258545,,0.239746,,216.562,,0.875,,50.0,
1120mm,1120.0,fwd_6g,forward,6.0,1,True,0,0.132324,,0.109131,,157.5,,0.78125,,190.0,
1120mm,1120.0,rev_187m_fwd3g,reverse,0.1875,1,True,0,0.240967,,0.19873,,157.5,,2.0,,100.0,
1120mm,1120.0,rev_187m_fwd6g,reverse,0.1875,1,True,0,0.15625,,0.126465,,98.438,,2.0,,80.0,
1500mm,1500.0,fwd_3g,forward,3.0,1,True,0,0.242432,,0.227295,,196.875,,0.875,,50.0,
1500mm,1500.0,fwd_6g,forward,6.0,1,True,0,0.145508,,0.119873,,167.344,,0.75,,190.0,
1500mm,1500.0,rev_187m_fwd3g,reverse,0.1875,1,True,0,0.25,,0.223633,,157.5,,2.0,,90.0,
1500mm,1500.0,rev_187m_fwd6g,reverse,0.1875,1,True,0,0.171875,,0.14624,,108.281,,2.0,,70.0,
2000mm,2000.0,fwd_3g,forward,3.0,1,True,0,0.236328,,0.213867,,236.25,,0.875,,50.0,
2000mm,2000.0,fwd_6g,forward,6.0,1,True,0,0.074219,,0.049316,,98.438,,0.625,,320.0,
2000mm,2000.0,rev_187m_fwd3g,reverse,0.1875,1,True,0,0.21875,,0.188721,,137.812,,2.0,,140.0,
2000mm,2000.0,rev_187m_fwd6g,reverse,0.1875,1,True,0,0.154785,,0.115967,,88.594,,2.0,,90.0,
