filename,frequency_hz,s21_db,s11_db,attenuation_db,impedance_ohm
sweep_01.s2p,300000.0,-0.1076,-37.0183,0.1076,51.5152
sweep_01.s2p,30298500.0,-0.2017,-25.1995,0.2017,41.1437
sweep_01.s2p,60297000.0,-0.3082,-18.9291,0.3082,39.5228
sweep_01.s2p,90295500.0,-0.4385,-16.0558,0.4385,39.3278
sweep_01.s2p,120294000.0,-0.52,-14.7642,0.52,39.7901
sweep_01.s2p,150292500.0,-0.6379,-14.5885,0.6379,40.6019
sweep_01.s2p,180291000.0,-0.6653,-15.5562,0.6653,41.9144
sweep_01.s2p,210289500.0,-0.676,-18.1806,0.676,43.9432
sweep_01.s2p,240288000.0,-0.6594,-24.8018,0.6594,47.0482
sweep_01.s2p,270286500.0,-0.6955,-28.1795,0.6955,51.906
sweep_01.s2p,300285000.0,-0.7697,-18.3505,0.7697,59.56
sweep_01.s2p,330283500.0,-0.9251,-14.32,0.9251,73.4226
sweep_01.s2p,360282000.0,-1.034,-12.4171,1.034,107.2899
sweep_01.s2p,390280500.0,-1.1316,-11.9763,1.1316,32.561
sweep_01.s2p,420279000.0,-1.094,-12.9397,1.094,15.1264
sweep_01.s2p,450277500.0,-1.0769,-15.8499,1.0769,28.1012
sweep_01.s2p,480276000.0,-1.0135,-22.937,1.0135,46.5715
sweep_01.s2p,510274500.0,-1.0607,-19.0738,1.0607,56.9691
sweep_01.s2p,540273000.0,-1.1747,-13.5266,1.1747,64.2713
sweep_01.s2p,570271500.0,-1.3917,-11.1061,1.3917,68.7172
sweep_01.s2p,600270000.0,-1.4915,-10.3387,1.4915,70.0245
sweep_01.s2p,630268500.0,-1.4671,-11.0577,1.4671,68.0203
sweep_01.s2p,660267000.0,-1.3468,-13.6685,1.3468,62.6581
sweep_01.s2p,690265500.0,-1.2736,-18.2299,1.2736,54.3479
sweep_01.s2p,720264000.0,-1.3772,-15.6056,1.3772,43.3379
sweep_01.s2p,750262500.0,-1.5723,-11.1665,1.5723,29.3781
sweep_01.s2p,780261000.0,-1.9126,-8.5397,1.9126,14.0752
sweep_01.s2p,810259500.0,-2.1884,-7.9475,2.1884,13.1649
sweep_01.s2p,840258000.0,-2.0836,-8.663,2.0836,22.3823
sweep_01.s2p,870256500.0,-1.8213,-11.0274,1.8213,71.414
sweep_01.s2p,900255000.0,-1.7928,-14.7445,1.7928,54.4613
sweep_01.s2p,930253500.0,-2.2049,-12.1603,2.2049,40.1543
sweep_01.s2p,960252000.0,-2.8919,-8.3277,2.8919,33.0443
sweep_01.s2p,990250500.0,-3.5114,-6.2917,3.5114,29.2624
