filename,frequency_hz,s21_db,s11_db,attenuation_db,impedance_ohm
sweep_01.s2p,300000.0,-0.8379,-20.8998,0.8379,53.9123
sweep_01.s2p,30298500.0,-1.4661,-22.9377,1.4661,53.6854
sweep_01.s2p,60297000.0,-2.1813,-22.2355,2.1813,55.0939
sweep_01.s2p,90295500.0,-2.7,-25.9165,2.7,47.8223
sweep_01.s2p,120294000.0,-3.1141,-31.5203,3.1141,48.9711
sweep_01.s2p,150292500.0,-3.5219,-28.7241,3.5219,54.0354
sweep_01.s2p,180291000.0,-3.9186,-24.2395,3.9186,44.2376
sweep_01.s2p,210289500.0,-4.2209,-28.3651,4.2209,46.7256
sweep_01.s2p,240288000.0,-4.4756,-40.669,4.4756,46.3987
sweep_01.s2p,270286500.0,-4.7546,-24.337,4.7546,44.0275
sweep_01.s2p,300285000.0,-5.1357,-21.2724,5.1357,41.2864
sweep_01.s2p,330283500.0,-5.3374,-29.9364,5.3374,43.971
sweep_01.s2p,360282000.0,-5.672,-23.8854,5.672,44.5275
sweep_01.s2p,390280500.0,-5.8267,-20.819,5.8267,41.6356
sweep_01.s2p,420279000.0,-6.0102,-23.1668,6.0102,50.8818
sweep_01.s2p,450277500.0,-6.1771,-22.5754,6.1771,46.18
sweep_01.s2p,480276000.0,-6.5364,-17.7783,6.5364,49.4572
sweep_01.s2p,510274500.0,-6.7616,-21.2295,6.7616,54.227
sweep_01.s2p,540273000.0,-6.872,-19.6478,6.872,51.0258
sweep_01.s2p,570271500.0,-7.1084,-17.2598,7.1084,60.7087
sweep_01.s2p,600270000.0,-7.265,-18.33,7.265,59.1911
sweep_01.s2p,630268500.0,-7.4148,-19.8845,7.4148,60.0696
sweep_01.s2p,660267000.0,-7.6468,-17.8202,7.6468,61.4541
sweep_01.s2p,690265500.0,-7.8283,-17.3403,7.8283,62.8554
sweep_01.s2p,720264000.0,-7.9673,-18.2503,7.9673,58.5506
sweep_01.s2p,750262500.0,-8.1497,-17.5276,8.1497,58.0126
sweep_01.s2p,780261000.0,-8.3163,-16.8057,8.3163,55.8068
sweep_01.s2p,810259500.0,-8.4634,-18.3573,8.4634,48.3242
sweep_01.s2p,840258000.0,-8.6106,-18.6058,8.6106,50.1175
