filename,frequency_hz,s21_db,s11_db,attenuation_db,impedance_ohm
sweep_01.s2p,300000.0,-0.2326,-33.0092,0.2326,12.6945
sweep_01.s2p,30298500.0,-0.4488,-25.4123,0.4488,49.5285
sweep_01.s2p,60297000.0,-0.8088,-23.823,0.8088,47.1771
sweep_01.s2p,90295500.0,-1.0426,-26.1891,1.0426,46.0021
sweep_01.s2p,120294000.0,-1.2063,-31.7077,1.2063,51.9827
sweep_01.s2p,150292500.0,-1.3788,-25.0664,1.3788,46.2848
sweep_01.s2p,180291000.0,-1.5485,-22.8756,1.5485,45.658
sweep_01.s2p,210289500.0,-1.6674,-27.6824,1.6674,46.5367
sweep_01.s2p,240288000.0,-1.7744,-29.6061,1.7744,52.7883
sweep_01.s2p,270286500.0,-1.8918,-21.0255,1.8918,41.7063
sweep_01.s2p,300285000.0,-2.0794,-21.6425,2.0794,44.7761
sweep_01.s2p,330283500.0,-2.1092,-38.7697,2.1092,48.9946
sweep_01.s2p,360282000.0,-2.2273,-22.6952,2.2273,56.8674
sweep_01.s2p,390280500.0,-2.3683,-20.2715,2.3683,40.2129
sweep_01.s2p,420279000.0,-2.4195,-28.5328,2.4195,48.1554
sweep_01.s2p,450277500.0,-2.4617,-24.0925,2.4617,54.9909
sweep_01.s2p,480276000.0,-2.6257,-21.5019,2.6257,61.8752
sweep_01.s2p,510274500.0,-2.687,-31.37,2.687,48.3729
sweep_01.s2p,540273000.0,-2.7363,-23.118,2.7363,55.7276
sweep_01.s2p,570271500.0,-2.8881,-19.5842,2.8881,58.5592
sweep_01.s2p,600270000.0,-2.9581,-26.1682,2.9581,57.6255
sweep_01.s2p,630268500.0,-3.016,-25.5876,3.016,58.8302
sweep_01.s2p,660267000.0,-3.1249,-20.3016,3.1249,58.1029
sweep_01.s2p,690265500.0,-3.154,-26.4644,3.154,53.154
sweep_01.s2p,720264000.0,-3.2371,-25.5823,3.2371,45.2771
sweep_01.s2p,750262500.0,-3.2999,-19.5218,3.2999,50.3711
sweep_01.s2p,780261000.0,-3.3455,-23.5368,3.3455,53.1652
sweep_01.s2p,810259500.0,-3.4838,-22.7332,3.4838,44.8963
sweep_01.s2p,840258000.0,-3.6593,-16.3653,3.6593,37.5253
sweep_01.s2p,870256500.0,-3.6779,-19.0873,3.6779,38.9566
sweep_01.s2p,900255000.0,-3.7239,-26.0099,3.7239,41.9325
sweep_01.s2p,930253500.0,-3.9495,-15.1909,3.9495,37.6758
sweep_01.s2p,960252000.0,-4.0315,-15.7061,4.0315,36.8854
sweep_01.s2p,990250500.0,-3.9894,-29.9903,3.9894,37.2203
sweep_01.s2p,1020249000.0,-4.174,-14.903,4.174,31.4413
sweep_01.s2p,1050247500.0,-4.3123,-13.6537,4.3123,36.1669
sweep_01.s2p,1080246000.0,-4.2423,-23.7173,4.2423,44.5831
sweep_01.s2p,1110244500.0,-4.3989,-15.6545,4.3989,45.2226
sweep_01.s2p,1140243000.0,-4.5667,-12.6335,4.5667,30.5603
sweep_01.s2p,1170241500.0,-4.4373,-18.1378,4.4373,43.4986
sweep_01.s2p,1200240000.0,-4.5454,-16.8903,4.5454,59.8741
sweep_01.s2p,1230238500.0,-4.8312,-11.9322,4.8312,63.6057
sweep_01.s2p,1260237000.0,-4.7907,-15.0151,4.7907,43.7647
sweep_01.s2p,1290235500.0,-4.745,-21.0366,4.745,59.6749
sweep_01.s2p,1320234000.0,-5.0066,-12.2859,5.0066,74.0118
sweep_01.s2p,1350232500.0,-4.975,-12.5197,4.975,81.0782
sweep_01.s2p,1380231000.0,-4.799,-18.8747,4.799,68.7208
sweep_01.s2p,1410229500.0,-5.0361,-12.8827,5.0361,73.3712
sweep_01.s2p,1440228000.0,-5.1909,-11.5729,5.1909,71.3969
