phase,vth,polarity,hits,errors
0,0,0,16622,2
0,0,1,16177,14
0,2,0,16644,35
0,2,1,16095,79
0,4,0,16691,219
0,4,1,16016,435
0,6,0,16678,962
0,6,1,16173,1379
0,8,0,16592,2406
0,8,1,16175,2950
0,10,0,16689,4502
0,10,1,16047,4693
0,12,0,16657,6595
0,12,1,16167,6540
0,14,0,16625,8097
0,14,1,16054,7820
0,16,0,16157,8469
0,16,1,16121,8408
0,18,0,16225,8526
0,18,1,16079,8575
0,20,0,16214,8661
0,20,1,16261,8775
0,22,0,16213,9608
0,22,1,16103,9441
0,24,0,16214,11813
0,24,1,16210,11676
0,26,0,16224,14205
0,26,1,16066,13996
0,28,0,16340,15863
0,28,1,16057,15641
0,30,0,16138,16097
0,30,1,16117,16105
0,32,0,16157,16157
0,32,1,16082,16082
0,34,0,16289,16289
0,34,1,16162,16162
0,36,0,16245,16245
0,36,1,16172,16172
0,38,0,16238,16238
0,38,1,16193,16193
0,40,0,16177,16177
0,40,1,16119,16119
0,42,0,16286,16286
0,42,1,16131,16131
0,44,0,16186,16186
0,44,1,16211,16211
0,46,0,16234,16234
0,46,1,16040,16040
0,48,0,16247,16247
0,48,1,16180,16180
0,50,0,16232,16232
0,50,1,16065,16065
0,52,0,16287,16287
0,52,1,16117,16117
0,54,0,16223,16223
0,54,1,16133,16133
0,56,0,16112,16112
0,56,1,16244,16244
0,58,0,16186,16186
0,58,1,16201,16201
0,60,0,16238,16238
0,60,1,16139,16139
0,62,0,16214,16214
0,62,1,16067,16067
2,0,0,16698,243
2,0,1,16147,393
2,2,0,16583,843
2,2,1,16096,1261
2,4,0,16559,2274
2,4,1,16110,2567
2,6,0,16628,4232
2,6,1,16119,4333
2,8,0,16705,6179
2,8,1,16126,6067
2,10,0,16620,7749
2,10,1,16026,7330
2,12,0,16652,8549
2,12,1,16148,8250
2,14,0,16261,8555
2,14,1,16203,8588
2,16,0,16231,8517
2,16,1,16103,8504
2,18,0,16324,8636
2,18,1,16088,8562
2,20,0,16230,8793
2,20,1,16042,8742
2,22,0,16239,10032
2,22,1,16131,9821
2,24,0,16208,12166
2,24,1,16109,12001
2,26,0,16199,14158
2,26,1,16124,14246
2,28,0,16271,15841
2,28,1,16087,15684
2,30,0,16296,16253
2,30,1,16218,16202
2,32,0,16227,16226
2,32,1,16186,16186
2,34,0,16312,16312
2,34,1,16074,16074
2,36,0,16267,16267
2,36,1,16144,16144
2,38,0,16397,16397
2,38,1,16155,16155
2,40,0,16283,16283
2,40,1,16094,16094
2,42,0,16325,16325
2,42,1,16147,16147
2,44,0,16212,16212
2,44,1,16140,16140
2,46,0,16164,16164
2,46,1,16177,16177
2,48,0,16372,16372
2,48,1,16060,16060
2,50,0,16275,16275
2,50,1,16077,16077
2,52,0,16194,16194
2,52,1,16103,16103
2,54,0,16291,16291
2,54,1,16132,16132
2,56,0,16276,16276
2,56,1,16187,16187
2,58,0,16195,16195
2,58,1,16172,16172
2,60,0,16181,16181
2,60,1,16157,16157
2,62,0,16208,16208
2,62,1,16213,16213
4,0,0,16696,2431
4,0,1,16040,2775
4,2,0,16614,4281
4,2,1,16146,4422
4,4,0,16699,6246
4,4,1,16162,5977
4,6,0,16786,7754
4,6,1,16164,7317
4,8,0,16283,8594
4,8,1,16065,7957
4,10,0,16186,8462
4,10,1,16071,8433
4,12,0,16111,8493
4,12,1,16143,8593
4,14,0,16258,8532
4,14,1,16029,8511
4,16,0,16333,8551
4,16,1,16117,8556
4,18,0,16329,8654
4,18,1,16051,8533
4,20,0,16264,8928
4,20,1,16122,8821
4,22,0,16239,10278
4,22,1,16113,10186
4,24,0,16252,12449
