phase,vth,polarity,hits,errors
0,0,0,16212,0
0,0,1,16598,0
0,2,0,16218,0
0,2,1,16606,0
0,4,0,16181,0
0,4,1,16431,0
0,6,0,16205,0
0,6,1,16659,0
0,8,0,16158,1
0,8,1,16593,1
0,10,0,16229,28
0,10,1,16402,23
0,12,0,16238,149
0,12,1,16538,134
0,14,0,16129,554
0,14,1,16552,535
0,16,0,16231,1638
0,16,1,16575,1618
0,18,0,16243,3312
0,18,1,16707,3528
0,20,0,16240,5209
0,20,1,16553,5658
0,22,0,16216,7148
0,22,1,16534,7513
0,24,0,16226,8248
0,24,1,16552,8637
0,26,0,16315,9056
0,26,1,16517,9221
0,28,0,16128,9523
0,28,1,16567,9675
0,30,0,16192,10932
0,30,1,16433,10725
0,32,0,16229,12754
0,32,1,16401,12757
0,34,0,16159,14691
0,34,1,16464,14925
0,36,0,16107,15724
0,36,1,16445,16073
0,38,0,16206,16155
0,38,1,16427,16402
0,40,0,16257,16254
0,40,1,16357,16357
0,42,0,16220,16220
0,42,1,16503,16503
0,44,0,16268,16268
0,44,1,16526,16526
0,46,0,16257,16257
0,46,1,16470,16470
0,48,0,16208,16208
0,48,1,16445,16445
0,50,0,16174,16174
0,50,1,16493,16493
0,52,0,16160,16160
0,52,1,16457,16457
0,54,0,16246,16246
0,54,1,16529,16529
0,56,0,16189,16189
0,56,1,16445,16445
0,58,0,16194,16194
0,58,1,16535,16535
0,60,0,16222,16222
0,60,1,16545,16545
0,62,0,16280,16280
0,62,1,16469,16469
2,0,0,16216,0
2,0,1,16590,0
2,2,0,16172,0
2,2,1,16614,0
2,4,0,16226,0
2,4,1,16503,0
2,6,0,16251,0
2,6,1,16535,0
2,8,0,16169,5
2,8,1,16571,0
2,10,0,16266,20
2,10,1,16527,22
2,12,0,16264,148
2,12,1,16577,121
2,14,0,16210,600
2,14,1,16610,641
2,16,0,16221,1638
2,16,1,16528,1752
2,18,0,16240,3424
2,18,1,16470,3425
2,20,0,16279,5342
2,20,1,16553,5741
2,22,0,16114,7132
2,22,1,16669,7675
2,24,0,16205,8367
2,24,1,16584,8582
2,26,0,16156,8954
2,26,1,16647,9182
2,28,0,16169,9567
2,28,1,16499,9694
2,30,0,16223,10836
2,30,1,16541,10871
