phase,vth,polarity,hits,errors
0,0,0,16564,1
0,0,1,16343,0
0,2,0,16378,2
0,2,1,16408,2
0,4,0,16193,11
0,4,1,16273,14
0,6,0,16374,53
0,6,1,16399,78
0,8,0,16404,239
0,8,1,16478,240
0,10,0,16317,563
0,10,1,16334,666
0,12,0,16462,1303
0,12,1,16393,1577
0,14,0,16350,2471
0,14,1,16411,2745
0,16,0,16309,3863
0,16,1,16403,4261
0,18,0,16371,5366
0,18,1,16352,5890
0,20,0,16372,6728
0,20,1,16324,7100
0,22,0,16346,7657
0,22,1,16449,8071
0,24,0,16346,8206
0,24,1,16255,8608
0,26,0,16404,8970
0,26,1,16300,9005
0,28,0,16359,9904
0,28,1,16218,9734
0,30,0,16280,11244
0,30,1,16118,11143
0,32,0,16434,12986
0,32,1,16357,13033
0,34,0,16268,14515
0,34,1,16200,14560
0,36,0,16550,15901
0,36,1,16150,15671
0,38,0,16272,16141
0,38,1,16234,16147
0,40,0,16232,16224
0,40,1,16276,16273
0,42,0,16366,16366
0,42,1,16214,16214
0,44,0,16508,16508
0,44,1,16134,16134
0,46,0,16368,16368
0,46,1,16219,16219
0,48,0,16294,16294
0,48,1,16316,16316
0,50,0,16380,16380
0,50,1,16312,16312
0,52,0,16247,16247
0,52,1,16213,16213
0,54,0,16415,16415
0,54,1,16313,16313
0,56,0,16311,16311
0,56,1,16318,16318
0,58,0,16389,16389
0,58,1,16196,16196
0,60,0,16447,16447
0,60,1,16194,16194
0,62,0,16236,16236
0,62,1,16180,16180
2,0,0,16409,0
2,0,1,16320,0
2,2,0,16250,1
2,2,1,16295,2
2,4,0,16556,18
2,4,1,16472,11
2,6,0,16480,61
2,6,1,16426,75
2,8,0,16346,252
2,8,1,16400,272
2,10,0,16319,589
2,10,1,16369,691
2,12,0,16356,1327
2,12,1,16408,1631
2,14,0,16512,2485
2,14,1,16319,2792
2,16,0,16377,3835
2,16,1,16388,4248
2,18,0,16168,5365
2,18,1,16429,5909
2,20,0,16370,6648
2,20,1,16440,7208
2,22,0,16333,7544
2,22,1,16521,8017
2,24,0,16284,8208
2,24,1,16354,8640
2,26,0,16298,8933
2,26,1,16249,8952
2,28,0,16258,9653
2,28,1,16309,9850
2,30,0,16471,11452
2,30,1,16308,11260
2,32,0,16371,12987
2,32,1,16211,13003
2,34,0,16278,14518
2,34,1,16386,14792
2,36,0,16426,15698
2,36,1,16255,15729
2,38,0,16370,16251
2,38,1,16200,16091
2,40,0,16379,16365
2,40,1,16240,16234
2,42,0,16324,16324
2,42,1,16105,16105
2,44,0,16468,16468
2,44,1,16242,16242
2,46,0,16392,16392
2,46,1,16140,16140
2,48,0,16352,16352
2,48,1,16285,16285
2,50,0,16363,16363
2,50,1,16254,16254
2,52,0,16406,16406
2,52,1,16219,16219
2,54,0,16444,16444
2,54,1,16189,16189
2,56,0,16390,16390
2,56,1,16239,16239
2,58,0,16354,16354
2,58,1,16265,16265
2,60,0,16331,16331
2,60,1,16148,16148
2,62,0,16293,16293
2,62,1,16251,16251
4,0,0,16351,1
4,0,1,16314,0
4,2,0,16379,2
4,2,1,16405,1
4,4,0,16344,15
4,4,1,16469,15
4,6,0,16394,62
4,6,1,16387,67
4,8,0,16273,230
4,8,1,16468,246
4,10,0,16297,603
4,10,1,16510,658
4,12,0,16442,1352
4,12,1,16300,1563
4,14,0,16224,2387
4,14,1,16334,2783
4,16,0,16281,3912
4,16,1,16407,4404
4,18,0,16477,5425
4,18,1,16285,5791
4,20,0,16353,6640
4,20,1,16443,7181
4,22,0,16402,7688
4,22,1,16449,8002
4,24,0,16381,8352
4,24,1,16375,8600
4,26,0,16302,8917
4,26,1,16224,8943
4,28,0,16206,9790
4,28,1,16360,9813
4,30,0,16419,11306
4,30,1,16260,11337
4,32,0,16398,12906
4,32,1,16249,12890
4,34,0,16270,14464
4,34,1,16176,14610
4,36,0,16331,15721
4,36,1,16194,15619
4,38,0,16336,16217
4,38,1,16160,16046
4,40,0,16274,16261
4,40,1,16045,16041
4,42,0,16394,16394
4,42,1,16138,16138
4,44,0,16305,16305
4,44,1,16205,16205
4,46,0,16356,16356
4,46,1,16262,16262
4,48,0,16420,16420
4,48,1,16261,16261
4,50,0,16413,16413
4,50,1,16246,16246
4,52,0,16283,16283
4,52,1,16296,16296
4,54,0,16456,16456
4,54,1,16176,16176
4,56,0,16363,16363
4,56,1,16211,16211
4,58,0,16355,16355
4,58,1,16271,16271
4,60,0,16361,16361
4,60,1,16399,16399
4,62,0,16357,16357
4,62,1,16221,16221
6,0,0,16496,0
6,0,1,16361,0
6,2,0,16413,3
6,2,1,16587,1
6,4,0,16426,20
6,4,1,16379,9
6,6,0,16328,61
6,6,1,16281,65
6,8,0,16385,228
6,8,1,16417,262
6,10,0,16307,578
6,10,1,16421,648
6,12,0,16354,1360
6,12,1,16442,1554
6,14,0,16248,2392
6,14,1,16514,2844
6,16,0,16225,3820
6,16,1,16501,4370
6,18,0,16284,5321
6,18,1,16462,5896
6,20,0,16304,6678
6,20,1,16481,7174
6,22,0,16342,7664
6,22,1,16378,7982
6,24,0,16153,8168
6,24,1,16498,8614
6,26,0,16385,8868
6,26,1,16128,8909
6,28,0,16379,9850
6,28,1,16188,9779
6,30,0,16307,11177
6,30,1,16163,11083
6,32,0,16384,12990
6,32,1,16161,12958
6,34,0,16433,14675
6,34,1,16196,14706
6,36,0,16266,15626
6,36,1,16169,15694
6,38,0,16260,16144
6,38,1,16257,16181
6,40,0,16304,16291
6,40,1,16164,16160
6,42,0,16230,16230
6,42,1,16208,16208
6,44,0,16317,16317
6,44,1,16212,16212
6,46,0,16322,16322
6,46,1,16260,16260
6,48,0,16317,16317
6,48,1,16182,16182
6,50,0,16434,16434
6,50,1,16237,16237
6,52,0,16372,16372
6,52,1,16315,16315
6,54,0,16377,16377
6,54,1,16161,16161
6,56,0,16368,16368
6,56,1,16112,16112
6,58,0,16459,16459
6,58,1,16048,16048
6,60,0,16314,16314
6,60,1,16166,16166
6,62,0,16279,16279
6,62,1,16277,16277
8,0,0,16275,1
8,0,1,16480,0
8,2,0,16381,0
8,2,1,16545,2
8,4,0,16262,18
8,4,1,16368,16
8,6,0,16415,55
8,6,1,16345,75
8,8,0,16520,228
8,8,1,16430,261
8,10,0,16267,579
8,10,1,16351,762
8,12,0,16335,1300
8,12,1,16412,1540
8,14,0,16286,2408
8,14,1,16400,2823
8,16,0,16451,3937
8,16,1,16494,4391
8,18,0,16340,5332
8,18,1,16401,5915
8,20,0,16346,6710
8,20,1,16546,7275
8,22,0,16439,7698
8,22,1,16542,8068
8,24,0,16411,8301
8,24,1,16229,8620
8,26,0,16528,8993
8,26,1,16201,8950
8,28,0,16387,9935
8,28,1,16077,9612
8,30,0,16422,11337
8,30,1,16332,11216
8,32,0,16486,12995
8,32,1,16056,12743
8,34,0,16308,14463
8,34,1,16123,14399
8,36,0,16455,15762
8,36,1,16251,15675
8,38,0,16258,16133
8,38,1,16117,16023
8,40,0,16339,16333
8,40,1,16143,16141
8,42,0,16476,16476
8,42,1,16229,16229
8,44,0,16369,16369
8,44,1,16252,16252
8,46,0,16356,16356
8,46,1,16209,16209
8,48,0,16321,16321
8,48,1,16159,16159
8,50,0,16315,16315
8,50,1,16219,16219
8,52,0,16404,16404
8,52,1,16152,16152
8,54,0,16432,16432
8,54,1,16153,16153
8,56,0,16607,16607
8,56,1,16266,16266
8,58,0,16129,16129
8,58,1,16162,16162
8,60,0,16279,16279
8,60,1,16206,16206
8,62,0,16562,16562
8,62,1,16252,16252
10,0,0,16406,0
10,0,1,16589,0
10,2,0,16451,1
10,2,1,16453,2
10,4,0,16375,13
10,4,1,16291,9
10,6,0,16259,66
10,6,1,16434,84
10,8,0,16309,240
10,8,1,16410,234
10,10,0,16378,597
10,10,1,16323,757
10,12,0,16406,1297
10,12,1,16232,1514
10,14,0,16335,2414
10,14,1,16359,2687
10,16,0,16327,3817
10,16,1,16485,4341
10,18,0,16450,5386
10,18,1,16548,5868
10,20,0,16399,6697
10,20,1,16599,7177
10,22,0,16400,7638
10,22,1,16397,8017
10,24,0,16360,8225
10,24,1,16480,8631
10,26,0,16367,8909
10,26,1,16222,8950
10,28,0,16456,9961
10,28,1,16257,9722
10,30,0,16268,11175
10,30,1,16242,11177
10,32,0,16330,12828
10,32,1,16160,12999
10,34,0,16343,14585
10,34,1,16196,14567
10,36,0,16309,15603
10,36,1,16112,15604
10,38,0,16364,16243
10,38,1,16240,16132
10,40,0,16268,16252
10,40,1,16137,16132
10,42,0,16339,16339
10,42,1,16266,16266
10,44,0,16362,16362
10,44,1,16211,16211
10,46,0,16420,16420
10,46,1,16245,16245
10,48,0,16406,16406
10,48,1,16175,16175
10,50,0,16278,16278
10,50,1,16177,16177
10,52,0,16353,16353
10,52,1,16142,16142
10,54,0,16383,16383
10,54,1,16223,16223
10,56,0,16485,16485
10,56,1,16355,16355
10,58,0,16399,16399
10,58,1,16236,16236
10,60,0,16372,16372
10,60,1,16202,16202
10,62,0,16171,16171
10,62,1,16224,16224
12,0,0,16312,0
12,0,1,16452,0
12,2,0,16398,4
12,2,1,16321,1
12,4,0,16228,11
12,4,1,16584,6
12,6,0,16450,64
12,6,1,16455,83
12,8,0,16357,274
12,8,1,16498,236
12,10,0,16419,641
12,10,1,16458,691
12,12,0,16284,1293
12,12,1,16348,1463
12,14,0,16339,2543
12,14,1,16309,2721
12,16,0,16414,3887
12,16,1,16322,4327
12,18,0,16318,5534
12,18,1,16497,5973
12,20,0,16381,6623
12,20,1,16503,7158
12,22,0,16422,7669
12,22,1,16419,8002
12,24,0,16294,8223
12,24,1,16259,8460
12,26,0,16285,8900
12,26,1,16351,8978
12,28,0,16392,9877
12,28,1,16228,9715
12,30,0,16308,11086
12,30,1,16105,11088
12,32,0,16375,12851
12,32,1,16152,12802
12,34,0,16326,14553
12,34,1,16175,14614
12,36,0,16390,15724
12,36,1,16284,15721
12,38,0,16316,16184
12,38,1,16264,16168
12,40,0,16369,16353
12,40,1,16235,16230
12,42,0,16374,16374
12,42,1,16241,16241
12,44,0,16221,16221
12,44,1,16188,16188
12,46,0,16458,16458
12,46,1,16283,16283
12,48,0,16462,16462
12,48,1,16275,16275
12,50,0,16395,16395
12,50,1,16241,16241
12,52,0,16389,16389
12,52,1,16169,16169
12,54,0,16389,16389
12,54,1,16259,16259
12,56,0,16310,16310
12,56,1,16251,16251
12,58,0,16330,16330
12,58,1,16138,16138
12,60,0,16437,16437
12,60,1,16329,16329
12,62,0,16374,16374
12,62,1,16237,16237
14,0,0,16390,1
14,0,1,16453,1
14,2,0,16196,2
14,2,1,16410,3
14,4,0,16355,15
14,4,1,16425,15
14,6,0,16390,53
14,6,1,16295,81
14,8,0,16443,231
14,8,1,16335,269
14,10,0,16364,606
14,10,1,16420,729
14,12,0,16293,1318
14,12,1,16406,1573
14,14,0,16312,2408
14,14,1,16366,2777
14,16,0,16459,3764
14,16,1,16423,4382
14,18,0,16336,5394
14,18,1,16408,5962
14,20,0,16351,6592
14,20,1,16280,7167
14,22,0,16307,7487
14,22,1,16310,7904
14,24,0,16323,8215
14,24,1,16440,8632
14,26,0,16388,8899
14,26,1,16336,9100
14,28,0,16365,9877
14,28,1,16258,9892
14,30,0,16331,11208
14,30,1,16105,11148
14,32,0,16423,12829
14,32,1,16170,12888
14,34,0,16380,14669
14,34,1,16235,14567
14,36,0,16277,15606
14,36,1,16276,15760
14,38,0,16407,16293
14,38,1,16305,16209
14,40,0,16464,16455
14,40,1,16129,16124
14,42,0,16421,16421
14,42,1,16244,16244
14,44,0,16330,16330
14,44,1,16338,16338
14,46,0,16413,16413
14,46,1,16277,16277
14,48,0,16232,16232
14,48,1,16247,16247
14,50,0,16394,16394
14,50,1,16248,16248
14,52,0,16481,16481
14,52,1,16234,16234
14,54,0,16404,16404
14,54,1,16367,16367
14,56,0,16325,16325
