phase,vth,polarity,hits,errors
0,0,0,16275,0
0,0,1,16354,0
0,2,0,16376,0
0,2,1,16325,0
0,4,0,16325,0
0,4,1,16407,0
0,6,0,16509,0
0,6,1,16383,0
0,8,0,16494,0
0,8,1,16359,0
0,10,0,16328,1
0,10,1,16380,0
0,12,0,16314,5
0,12,1,16343,5
0,14,0,16431,72
0,14,1,16384,48
0,16,0,16442,397
0,16,1,16332,283
0,18,0,16224,1178
0,18,1,16250,993
0,20,0,16413,2493
0,20,1,16410,2360
0,22,0,16419,4307
0,22,1,16442,4144
0,24,0,16473,6354
0,24,1,16421,6191
0,26,0,16286,8310
0,26,1,16326,8265
0,28,0,16367,10304
0,28,1,16407,10335
0,30,0,16360,12293
0,30,1,16342,12550
0,32,0,16354,14225
0,32,1,16481,14216
0,34,0,16299,15164
0,34,1,16505,15199
0,36,0,16312,15910
0,36,1,16467,16135
0,38,0,16390,16353
0,38,1,16347,16302
0,40,0,16346,16346
0,40,1,16339,16337
0,42,0,16379,16379
0,42,1,16274,16274
0,44,0,16351,16351
0,44,1,16311,16311
0,46,0,16289,16289
0,46,1,16278,16278
0,48,0,16306,16306
0,48,1,16368,16368
0,50,0,16333,16333
0,50,1,16325,16325
0,52,0,16412,16412
0,52,1,16301,16301
0,54,0,16367,16367
0,54,1,16275,16275
0,56,0,16353,16353
0,56,1,16352,16352
0,58,0,16355,16355
0,58,1,16272,16272
0,60,0,16375,16375
0,60,1,16359,16359
0,62,0,16346,16346
0,62,1,16289,16289
2,0,0,16329,0
2,0,1,16280,0
2,2,0,16486,0
2,2,1,16298,0
2,4,0,16351,0
2,4,1,16396,0
2,6,0,16455,0
2,6,1,16307,0
2,8,0,16429,0
2,8,1,16447,0
2,10,0,16279,3
2,10,1,16270,0
2,12,0,16448,11
2,12,1,16325,4
2,14,0,16450,79
2,14,1,16484,51
2,16,0,16494,403
2,16,1,16442,283
2,18,0,16456,1181
2,18,1,16362,944
2,20,0,16481,2490
2,20,1,16395,2165
2,22,0,16381,4143
2,22,1,16362,3933
2,24,0,16430,6089
2,24,1,16402,5799
2,26,0,16328,8120
2,26,1,16384,8105
2,28,0,16470,10549
2,28,1,16264,10375
2,30,0,16326,12724
2,30,1,16517,12991
2,32,0,16470,14304
2,32,1,16464,14127
2,34,0,16390,15276
2,34,1,16339,15235
2,36,0,16416,16016
2,36,1,16376,15992
2,38,0,16332,16282
2,38,1,16252,16252
2,40,0,16360,16360
2,40,1,16346,16341
2,42,0,16358,16358
2,42,1,16411,16411
2,44,0,16315,16315
2,44,1,16356,16356
2,46,0,16314,16314
2,46,1,16325,16325
2,48,0,16260,16260
2,48,1,16365,16365
2,50,0,16421,16421
2,50,1,16321,16321
2,52,0,16262,16262
2,52,1,16429,16429
2,54,0,16243,16243
2,54,1,16322,16322
2,56,0,16348,16348
2,56,1,16353,16353
2,58,0,16298,16298
2,58,1,16295,16295
2,60,0,16345,16345
2,60,1,16377,16377
2,62,0,16436,16436
2,62,1,16308,16308
4,0,0,16432,0
4,0,1,16396,0
4,2,0,16341,0
4,2,1,16385,0
4,4,0,16572,0
4,4,1,16255,0
4,6,0,16444,0
4,6,1,16345,0
4,8,0,16428,0
4,8,1,16450,0
4,10,0,16382,2
4,10,1,16382,0
4,12,0,16501,14
4,12,1,16288,1
4,14,0,16540,85
4,14,1,16439,53
4,16,0,16540,457
4,16,1,16367,313
4,18,0,16464,1258
4,18,1,16296,1050
4,20,0,16398,2478
4,20,1,16451,2386
4,22,0,16346,4161
4,22,1,16456,4032
4,24,0,16538,6072
4,24,1,16351,5759
4,26,0,16411,8133
4,26,1,16464,8284
4,28,0,16425,10882
4,28,1,16335,10945
4,30,0,16331,13252
4,30,1,16337,12980
4,32,0,16306,14261
4,32,1,16506,14243
4,34,0,16268,15240
4,34,1,16443,15296
4,36,0,16344,16028
4,36,1,16339,16025
4,38,0,16345,16345
4,38,1,16306,16305
4,40,0,16295,16294
4,40,1,16357,16357
4,42,0,16253,16253
4,42,1,16376,16376
4,44,0,16422,16422
4,44,1,16418,16418
4,46,0,16375,16375
4,46,1,16343,16343
4,48,0,16407,16407
4,48,1,16414,16414
4,50,0,16477,16477
4,50,1,16335,16335
4,52,0,16412,16412
4,52,1,16299,16299
4,54,0,16387,16387
4,54,1,16333,16333
4,56,0,16400,16400
4,56,1,16378,16378
4,58,0,16315,16315
4,58,1,16420,16420
4,60,0,16397,16397
4,60,1,16331,16331
4,62,0,16275,16275
4,62,1,16307,16307
6,0,0,16313,0
6,0,1,16390,0
6,2,0,16430,0
6,2,1,16419,0
6,4,0,16426,0
6,4,1,16335,0
6,6,0,16399,0
6,6,1,16362,0
6,8,0,16384,1
6,8,1,16375,0
6,10,0,16430,1
6,10,1,16354,0
6,12,0,16448,14
6,12,1,16354,7
6,14,0,16412,88
6,14,1,16437,68
6,16,0,16378,460
6,16,1,16444,380
6,18,0,16380,1378
6,18,1,16345,1195
6,20,0,16349,2586
6,20,1,16316,2485
6,22,0,16489,4217
6,22,1,16357,4056
6,24,0,16518,5935
6,24,1,16296,5796
6,26,0,16364,8295
6,26,1,16238,8274
6,28,0,16356,10953
6,28,1,16401,11027
6,30,0,16317,13061
6,30,1,16391,12838
6,32,0,16325,14090
6,32,1,16414,13960
6,34,0,16328,15191
6,34,1,16406,15193
6,36,0,16442,16033
6,36,1,16392,15995
6,38,0,16333,16276
6,38,1,16336,16331
6,40,0,16399,16399
6,40,1,16328,16328
6,42,0,16282,16282
6,42,1,16267,16267
6,44,0,16298,16298
6,44,1,16197,16197
6,46,0,16427,16427
6,46,1,16425,16425
6,48,0,16385,16385
6,48,1,16367,16367
6,50,0,16389,16389
6,50,1,16336,16336
6,52,0,16401,16401
6,52,1,16283,16283
6,54,0,16365,16365
6,54,1,16292,16292
6,56,0,16312,16312
6,56,1,16317,16317
6,58,0,16338,16338
6,58,1,16373,16373
6,60,0,16398,16398
6,60,1,16318,16318
6,62,0,16316,16316
6,62,1,16429,16429
8,0,0,16391,0
8,0,1,16418,0
8,2,0,16465,0
8,2,1,16267,0
8,4,0,16388,0
8,4,1,16444,0
8,6,0,16371,0
8,6,1,16392,0
8,8,0,16501,1
8,8,1,16387,0
8,10,0,16390,4
8,10,1,16342,0
8,12,0,16477,23
8,12,1,16344,8
8,14,0,16350,131
8,14,1,16277,97
8,16,0,16349,628
8,16,1,16402,460
8,18,0,16494,1566
8,18,1,16418,1343
8,20,0,16355,2900
8,20,1,16306,2987
8,22,0,16305,4504
8,22,1,16324,4562
8,24,0,16375,6250
8,24,1,16379,6346
8,26,0,16367,8687
8,26,1,16403,8589
8,28,0,16522,11464
8,28,1,16257,11308
8,30,0,16350,12907
8,30,1,16423,12689
8,32,0,16347,14070
8,32,1,16491,14053
8,34,0,16418,15204
8,34,1,16396,15242
8,36,0,16339,15982
8,36,1,16425,16008
8,38,0,16294,16253
8,38,1,16355,16351
8,40,0,16329,16329
8,40,1,16344,16344
8,42,0,16379,16379
8,42,1,16403,16403
8,44,0,16400,16400
8,44,1,16369,16369
8,46,0,16374,16374
8,46,1,16391,16391
8,48,0,16342,16342
8,48,1,16328,16328
8,50,0,16380,16380
8,50,1,16348,16348
8,52,0,16302,16302
8,52,1,16354,16354
8,54,0,16340,16340
8,54,1,16403,16403
8,56,0,16333,16333
8,56,1,16364,16364
8,58,0,16433,16433
8,58,1,16328,16328
8,60,0,16371,16371
8,60,1,16253,16253
8,62,0,16407,16407
8,62,1,16383,16383
10,0,0,16437,0
10,0,1,16418,0
10,2,0,16417,0
10,2,1,16380,0
10,4,0,16525,0
10,4,1,16425,0
10,6,0,16403,0
10,6,1,16422,0
10,8,0,16477,1
10,8,1,16441,0
10,10,0,16443,2
10,10,1,16302,1
10,12,0,16456,22
10,12,1,16322,19
10,14,0,16526,191
10,14,1,16457,124
10,16,0,16373,762
10,16,1,16283,553
10,18,0,16397,1778
10,18,1,16257,1673
10,20,0,16425,3197
10,20,1,16436,3146
10,22,0,16418,4979
10,22,1,16228,4876
10,24,0,16337,6703
10,24,1,16285,6676
10,26,0,16325,8854
10,26,1,16345,8943
10,28,0,16498,11418
10,28,1,16333,11077
10,30,0,16379,12767
10,30,1,16378,12404
10,32,0,16345,13984
10,32,1,16463,14051
