phase,vth,polarity,hits,errors
0,0,0,16192,0
0,0,1,16424,0
0,2,0,16314,0
0,2,1,16353,0
0,4,0,16282,0
0,4,1,16488,2
0,6,0,16337,7
0,6,1,16526,19
0,8,0,16325,29
0,8,1,16401,81
0,10,0,16254,85
0,10,1,16535,298
0,12,0,16233,264
0,12,1,16557,706
0,14,0,16303,610
0,14,1,16546,1536
0,16,0,16269,1402
0,16,1,16428,2920
0,18,0,16335,2649
0,18,1,16440,4354
0,20,0,16299,3885
0,20,1,16564,5887
0,22,0,16251,5420
0,22,1,16448,7315
0,24,0,16378,6858
0,24,1,16558,8446
0,26,0,16307,7990
0,26,1,16418,9218
0,28,0,16357,9184
0,28,1,16031,9972
0,30,0,16331,10518
0,30,1,15935,10982
0,32,0,16200,11762
0,32,1,15997,12457
0,34,0,16374,13262
0,34,1,16073,13926
0,36,0,16334,14729
0,36,1,16079,15002
0,38,0,16199,15484
0,38,1,16098,15640
0,40,0,16333,16107
0,40,1,16150,16040
0,42,0,16198,16158
0,42,1,16114,16100
0,44,0,16328,16325
0,44,1,16003,16003
0,46,0,16313,16313
0,46,1,16185,16185
0,48,0,16327,16327
0,48,1,16059,16059
0,50,0,16243,16243
0,50,1,16019,16019
0,52,0,16285,16285
0,52,1,16080,16080
0,54,0,16298,16298
0,54,1,16145,16145
0,56,0,16226,16226
0,56,1,16085,16085
0,58,0,16336,16336
0,58,1,16193,16193
0,60,0,16377,16377
0,60,1,16111,16111
0,62,0,16310,16310
0,62,1,16107,16107
2,0,0,16225,0
2,0,1,16418,0
2,2,0,16313,0
2,2,1,16487,0
2,4,0,16374,0
2,4,1,16430,1
2,6,0,16348,5
2,6,1,16425,14
2,8,0,16262,28
2,8,1,16552,93
2,10,0,16212,83
2,10,1,16520,288
2,12,0,16258,237
2,12,1,16392,831
2,14,0,16284,725
2,14,1,16491,1618
2,16,0,16342,1453
2,16,1,16440,2830
2,18,0,16266,2608
2,18,1,16505,4409
2,20,0,16290,3967
2,20,1,16437,5968
2,22,0,16290,5478
2,22,1,16450,7343
2,24,0,16253,6863
2,24,1,16561,8525
2,26,0,16261,8137
2,26,1,16591,9237
2,28,0,16280,9214
2,28,1,16109,10131
2,30,0,16186,10291
2,30,1,16106,11087
2,32,0,16328,11799
2,32,1,16227,12581
2,34,0,16341,13347
2,34,1,16189,13965
2,36,0,16294,14693
2,36,1,16054,14974
2,38,0,16225,15529
2,38,1,16000,15577
2,40,0,16272,16080
2,40,1,16099,16006
2,42,0,16274,16244
2,42,1,16071,16054
2,44,0,16303,16300
2,44,1,16120,16120
2,46,0,16296,16296
2,46,1,16096,16096
2,48,0,16275,16275
2,48,1,15969,15969
2,50,0,16338,16338
2,50,1,16117,16117
2,52,0,16205,16205
2,52,1,16087,16087
2,54,0,16247,16247
2,54,1,16118,16118
2,56,0,16203,16203
2,56,1,16011,16011
2,58,0,16337,16337
2,58,1,16042,16042
2,60,0,16326,16326
2,60,1,15993,15993
2,62,0,16341,16341
2,62,1,16075,16075
4,0,0,16313,0
4,0,1,16468,0
4,2,0,16236,0
4,2,1,16441,0
4,4,0,16424,0
4,4,1,16559,1
4,6,0,16236,3
4,6,1,16430,13
4,8,0,16328,34
4,8,1,16335,91
4,10,0,16240,88
4,10,1,16420,254
4,12,0,16340,255
4,12,1,16390,740
4,14,0,16341,729
4,14,1,16509,1605
4,16,0,16286,1337
4,16,1,16465,2903
4,18,0,16315,2492
4,18,1,16509,4357
4,20,0,16275,3975
4,20,1,16399,5902
4,22,0,16265,5740
4,22,1,16540,7317
4,24,0,16370,6944
4,24,1,16509,8433
4,26,0,16380,8124
4,26,1,16480,9108
4,28,0,16308,9192
4,28,1,16025,9935
4,30,0,16323,10535
4,30,1,16031,11027
4,32,0,16218,11686
4,32,1,16077,12434
4,34,0,16332,13317
4,34,1,16081,13787
4,36,0,16393,14763
4,36,1,16125,15006
4,38,0,16276,15629
4,38,1,16167,15717
4,40,0,16269,16082
4,40,1,16083,15953
4,42,0,16335,16304
4,42,1,16122,16107
4,44,0,16300,16295
4,44,1,16088,16088
4,46,0,16367,16367
4,46,1,15979,15979
4,48,0,16274,16274
4,48,1,16101,16101
4,50,0,16408,16408
4,50,1,16192,16192
4,52,0,16329,16329
4,52,1,16082,16082
4,54,0,16259,16259
4,54,1,16180,16180
4,56,0,16268,16268
4,56,1,16080,16080
4,58,0,16353,16353
4,58,1,16032,16032
4,60,0,16319,16319
4,60,1,16023,16023
4,62,0,16315,16315
4,62,1,16131,16131
6,0,0,16294,0
6,0,1,16360,0
6,2,0,16331,0
6,2,1,16436,0
6,4,0,16250,2
6,4,1,16474,4
6,6,0,16258,7
6,6,1,16483,17
6,8,0,16373,25
6,8,1,16485,72
6,10,0,16267,80
6,10,1,16424,260
6,12,0,16403,250
6,12,1,16364,731
6,14,0,16241,703
6,14,1,16374,1481
6,16,0,16282,1348
6,16,1,16482,2600
6,18,0,16354,2578
6,18,1,16496,4508
6,20,0,16311,3992
6,20,1,16397,5894
6,22,0,16252,5509
6,22,1,16388,7151
6,24,0,16343,6806
6,24,1,16501,8448
6,26,0,16297,8055
6,26,1,16416,9177
6,28,0,16230,9245
6,28,1,16073,9941
6,30,0,16364,10482
6,30,1,15996,10981
6,32,0,16266,11827
6,32,1,16104,12561
6,34,0,16350,13244
6,34,1,16113,13986
6,36,0,16364,14721
6,36,1,16097,14969
6,38,0,16248,15516
6,38,1,16137,15730
6,40,0,16247,16049
6,40,1,16080,15949
6,42,0,16329,16288
6,42,1,16115,16099
6,44,0,16353,16350
6,44,1,16103,16102
6,46,0,16345,16344
6,46,1,16006,16006
6,48,0,16314,16314
6,48,1,16025,16025
6,50,0,16298,16298
6,50,1,16060,16060
6,52,0,16326,16326
6,52,1,16072,16072
6,54,0,16246,16246
6,54,1,16005,16005
6,56,0,16214,16214
6,56,1,16173,16173
6,58,0,16261,16261
6,58,1,16149,16149
6,60,0,16219,16219
6,60,1,16062,16062
6,62,0,16281,16281
6,62,1,16110,16110
8,0,0,16338,0
8,0,1,16415,0
8,2,0,16338,0
8,2,1,16413,0
8,4,0,16368,2
8,4,1,16472,1
8,6,0,16377,9
8,6,1,16566,15
8,8,0,16334,19
8,8,1,16421,83
8,10,0,16263,97
8,10,1,16503,281
8,12,0,16222,260
8,12,1,16510,690
8,14,0,16358,682
8,14,1,16454,1643
8,16,0,16358,1494
8,16,1,16402,2903
8,18,0,16247,2604
8,18,1,16439,4274
8,20,0,16347,4056
8,20,1,16603,5929
8,22,0,16250,5547
8,22,1,16440,7226
8,24,0,16266,6909
8,24,1,16507,8415
8,26,0,16356,8023
8,26,1,16363,9115
8,28,0,16290,9203
8,28,1,16062,9900
8,30,0,16311,10411
8,30,1,16013,11087
8,32,0,16247,11846
8,32,1,16018,12344
8,34,0,16267,13216
8,34,1,16036,13892
8,36,0,16355,14764
8,36,1,16084,15012
8,38,0,16237,15564
8,38,1,16154,15738
8,40,0,16379,16173
8,40,1,15966,15863
8,42,0,16201,16166
8,42,1,16117,16105
8,44,0,16242,16238
8,44,1,16115,16115
8,46,0,16196,16196
8,46,1,16095,16095
8,48,0,16344,16344
8,48,1,16086,16086
8,50,0,16298,16298
8,50,1,16013,16013
8,52,0,16194,16194
8,52,1,16121,16121
8,54,0,16302,16302
8,54,1,16024,16024
8,56,0,16339,16339
