phase,vth,polarity,hits,errors
0,0,0,16585,0
0,0,1,16213,0
0,2,0,16365,0
0,2,1,16226,0
0,4,0,16488,0
0,4,1,16274,0
0,6,0,16567,0
0,6,1,16331,0
0,8,0,16462,5
0,8,1,16336,3
0,10,0,16439,56
0,10,1,16306,34
0,12,0,16476,146
0,12,1,16359,110
0,14,0,16505,429
0,14,1,16351,386
0,16,0,16527,958
0,16,1,16323,913
0,18,0,16456,1775
0,18,1,16336,1696
0,20,0,16526,2894
0,20,1,16419,2963
0,22,0,16446,4413
0,22,1,16342,4440
0,24,0,16441,6113
0,24,1,16399,6430
0,26,0,16535,8222
0,26,1,16326,8551
0,28,0,16436,10073
0,28,1,16305,10537
0,30,0,16499,12312
0,30,1,16308,12355
0,32,0,16519,13877
0,32,1,16282,13963
0,34,0,16289,15012
0,34,1,16428,15253
0,36,0,16489,15928
0,36,1,16333,15852
0,38,0,16313,16194
0,38,1,16300,16247
0,40,0,16334,16305
0,40,1,16389,16379
0,42,0,16423,16421
0,42,1,16233,16233
0,44,0,16371,16371
0,44,1,16313,16313
0,46,0,16288,16288
0,46,1,16227,16227
0,48,0,16375,16375
0,48,1,16223,16223
0,50,0,16443,16443
0,50,1,16405,16405
0,52,0,16316,16316
0,52,1,16320,16320
0,54,0,16369,16369
0,54,1,16330,16330
0,56,0,16338,16338
0,56,1,16361,16361
0,58,0,16344,16344
0,58,1,16325,16325
0,60,0,16305,16305
0,60,1,16308,16308
0,62,0,16279,16279
0,62,1,16148,16148
2,0,0,16441,0
2,0,1,16424,0
2,2,0,16561,0
2,2,1,16224,0
2,4,0,16462,0
2,4,1,16314,0
2,6,0,16403,1
2,6,1,16226,0
2,8,0,16438,5
2,8,1,16292,3
2,10,0,16524,57
2,10,1,16330,28
2,12,0,16533,156
2,12,1,16268,119
2,14,0,16491,442
2,14,1,16369,400
2,16,0,16545,976
2,16,1,16266,937
2,18,0,16468,1763
2,18,1,16294,1791
2,20,0,16461,2959
2,20,1,16274,3006
2,22,0,16398,4431
2,22,1,16454,4523
2,24,0,16500,6132
2,24,1,16355,6556
2,26,0,16414,7964
2,26,1,16354,8435
2,28,0,16443,10198
2,28,1,16316,10457
2,30,0,16327,12272
2,30,1,16384,12429
2,32,0,16372,13880
2,32,1,16295,13817
2,34,0,16450,15205
2,34,1,16318,15237
2,36,0,16294,15839
2,36,1,16374,15903
2,38,0,16320,16178
2,38,1,16352,16276
2,40,0,16293,16263
2,40,1,16269,16266
2,42,0,16284,16283
2,42,1,16364,16364
2,44,0,16338,16338
2,44,1,16304,16304
2,46,0,16251,16251
2,46,1,16230,16230
2,48,0,16352,16352
2,48,1,16381,16381
