phase,vth,polarity,hits,errors
0,0,0,16570,0
0,0,1,16103,0
0,4,0,16567,0
0,4,1,16142,0
0,8,0,16790,1
0,8,1,16254,0
0,12,0,16655,298
0,12,1,16105,112
0,16,0,16577,2935
0,16,1,16145,2139
0,20,0,16487,6760
0,20,1,16138,6504
0,24,0,16600,8577
0,24,1,16129,8338
0,28,0,16336,10668
0,28,1,16132,9595
0,32,0,16449,14953
0,32,1,16220,14363
0,36,0,16425,16349
0,36,1,16112,16034
0,40,0,16356,16356
0,40,1,16161,16161
0,44,0,16412,16412
0,44,1,16061,16061
0,48,0,16272,16272
0,48,1,16213,16213
0,52,0,16381,16381
0,52,1,16117,16117
0,56,0,16384,16384
0,56,1,16104,16104
0,60,0,16345,16345
0,60,1,16155,16155
4,0,0,16693,0
4,0,1,16051,0
4,4,0,16564,0
4,4,1,16163,0
4,8,0,16601,4
4,8,1,16165,2
4,12,0,16651,293
4,12,1,16135,131
4,16,0,16582,2997
4,16,1,16133,2202
4,20,0,16645,6964
4,20,1,16077,6455
4,24,0,16283,8601
4,24,1,16081,8268
4,28,0,16479,10737
4,28,1,16076,9610
4,32,0,16391,14918
4,32,1,16198,14346
4,36,0,16328,16262
4,36,1,16112,16022
4,40,0,16373,16373
4,40,1,16168,16168
4,44,0,16408,16408
4,44,1,16095,16095
4,48,0,16404,16404
4,48,1,16113,16113
4,52,0,16421,16421
4,52,1,16005,16005
4,56,0,16415,16415
4,56,1,16140,16140
4,60,0,16554,16554
4,60,1,16115,16115
8,0,0,16622,0
8,0,1,16188,0
8,4,0,16674,0
8,4,1,16125,0
8,8,0,16563,2
8,8,1,16128,0
8,12,0,16586,261
8,12,1,16207,143
8,16,0,16788,2930
8,16,1,16108,2079
8,20,0,16756,6976
8,20,1,16202,6587
8,24,0,16306,8604
8,24,1,16231,8451
8,28,0,16451,10652
8,28,1,16036,9456
8,32,0,16434,14946
8,32,1,16180,14451
8,36,0,16335,16283
8,36,1,16041,15983
8,40,0,16182,16182
8,40,1,16221,16221
8,44,0,16376,16376
8,44,1,16201,16201
8,48,0,16283,16283
8,48,1,16170,16170
8,52,0,16291,16291
8,52,1,16140,16140
8,56,0,16269,16269
8,56,1,16129,16129
8,60,0,16379,16379
8,60,1,16112,16112
12,0,0,16662,0
12,0,1,16129,0
12,4,0,16594,0
12,4,1,16031,0
12,8,0,16565,3
12,8,1,16222,0
12,12,0,16597,279
12,12,1,16198,122
12,16,0,16661,2987
12,16,1,16100,2244
12,20,0,16623,6883
12,20,1,16106,6618
12,24,0,16346,8561
12,24,1,16084,8350
12,28,0,16389,10507
12,28,1,16112,9625
12,32,0,16380,15013
12,32,1,16118,14454
12,36,0,16433,16375
12,36,1,16066,15997
12,40,0,16316,16316
12,40,1,16149,16149
12,44,0,16385,16385
12,44,1,16126,16126
12,48,0,16456,16456
12,48,1,16082,16082
12,52,0,16364,16364
12,52,1,16281,16281
12,56,0,16371,16371
12,56,1,16147,16147
12,60,0,16330,16330
12,60,1,16207,16207
16,0,0,16706,0
16,0,1,16068,0
16,4,0,16613,0
16,4,1,16296,0
16,8,0,16776,2
16,8,1,16179,1
16,12,0,16738,298
16,12,1,16066,118
16,16,0,16522,2938
16,16,1,16139,2085
16,20,0,16696,6815
16,20,1,16042,6558
16,24,0,16375,8677
16,24,1,16128,8434
16,28,0,16200,10411
16,28,1,16038,9473
16,32,0,16447,15043
16,32,1,16071,14195
16,36,0,16244,16169
16,36,1,16029,15973
16,40,0,16406,16406
16,40,1,16021,16021
16,44,0,16377,16377
16,44,1,16034,16034
16,48,0,16378,16378
16,48,1,16068,16068
16,52,0,16465,16465
16,52,1,16231,16231
16,56,0,16393,16393
16,56,1,16096,16096
16,60,0,16245,16245
16,60,1,16111,16111
20,0,0,16585,0
20,0,1,16132,0
20,4,0,16596,0
20,4,1,16170,0
20,8,0,16688,1
20,8,1,16175,0
20,12,0,16580,274
20,12,1,16144,115
20,16,0,16691,2972
20,16,1,16047,2197
20,20,0,16686,6875
20,20,1,15938,6573
20,24,0,16573,8701
20,24,1,16062,8341
20,28,0,16274,10565
20,28,1,16104,9616
20,32,0,16322,14788
20,32,1,16065,14194
20,36,0,16459,16391
20,36,1,16109,16053
20,40,0,16321,16321
20,40,1,16046,16046
20,44,0,16395,16395
20,44,1,16169,16169
20,48,0,16334,16334
20,48,1,16092,16092
20,52,0,16387,16387
20,52,1,15945,15945
20,56,0,16447,16447
20,56,1,16101,16101
20,60,0,16351,16351
20,60,1,16076,16076
24,0,0,16678,0
24,0,1,16121,0
24,4,0,16585,0
24,4,1,16207,0
24,8,0,16589,5
24,8,1,16111,0
24,12,0,16628,269
24,12,1,16077,135
24,16,0,16590,2876
24,16,1,16169,2215
24,20,0,16606,6853
24,20,1,16068,6659
24,24,0,16274,8584
24,24,1,16202,8291
24,28,0,16345,10559
24,28,1,16081,9540
24,32,0,16324,14924
24,32,1,16222,14516
24,36,0,16321,16259
24,36,1,16206,16146
24,40,0,16179,16179
24,40,1,16173,16173
24,44,0,16415,16415
24,44,1,16127,16127
24,48,0,16455,16455
24,48,1,16036,16036
24,52,0,16318,16318
24,52,1,16035,16035
24,56,0,16559,16559
24,56,1,16045,16045
24,60,0,16411,16411
24,60,1,16073,16073
28,0,0,16691,0
28,0,1,16153,0
28,4,0,16534,0
28,4,1,16201,0
28,8,0,16656,2
28,8,1,16213,0
28,12,0,16545,273
28,12,1,16130,134
28,16,0,16571,2923
28,16,1,16199,2200
28,20,0,16714,6911
28,20,1,16181,6606
28,24,0,16373,8628
28,24,1,16202,8408
28,28,0,16362,10664
28,28,1,16174,9587
28,32,0,16356,14945
28,32,1,16231,14537
28,36,0,16386,16328
28,36,1,16093,16001
28,40,0,16396,16396
28,40,1,16100,16100
